include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,B4UMovies.in@India,B4U MOVIES [IN],sktech,auto,100.0,B4U Movies,dishtv.in,140063
yes,B4UMovies.in@India,B4U MOVIES [IN-UK],sktech,auto,100.0,B4U Movies,dishtv.in,140063
yes,B4UMusic.in@India,B4U MUSIC USA [IN],sktech,auto,100.0,B4U Music,dishtv.in,158141
yes,B4UMusic.in@India,B4U MUSIC [IN],sktech,auto,100.0,B4U Music,dishtv.in,158141
yes,B4UMusic.in@India,B4U MUSIC [IN-UK],sktech,auto,100.0,B4U Music,dishtv.in,158141
yes,BIGTV.in@SD,Big TV,meowfy,auto,100.0,BIG TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_BIG_TV
review,BIGTV.in@SD,Brio TV,meowfy,review,76.9,BIG TV,airtelxstream.in,LIVETV_LIVETVCHANNEL_BIG_TV
yes,BRAVETV.in@jiotv,BRAVE TV,meowfy,auto,100.0,BRAVE TV,jiotv.com,2766
yes,BS9News.in@jiotv,BS9 News,meowfy,auto,100.0,BS9 News,jiotv.com,2007
yes,BVG.in@jiotv,BVG,meowfy,auto,100.0,BVG,jiotv.com,3048
yes,Badakhabar.in@jiotv,Badakhabar,meowfy,auto,100.0,Badakhabar,jiotv.com,1692
review,BalleBalle.in@SD,Balle Balle TV,meowfy,review,82.0,Balle Balle,dishtv.in,142697
yes,BanglaBhakti.in@jiotv,Bangla Bhakti,meowfy,auto,100.0,Bangla Bhakti,jiotv.com,1605
yes,BanglaJago.in@jiotv,Bangla Jago,meowfy,auto,100.0,Bangla Jago,jiotv.com,3019
yes,BansalNews.in@SD,Bansal News,meowfy,auto,100.0,Bansal News,airtelxstream.in,LIVETV_LIVETVCHANNEL_BANSAL_NEWS
review,BansalNews.in@SD,National News,meowfy,review,75.0,Bansal News,airtelxstream.in,LIVETV_LIVETVCHANNEL_BANSAL_NEWS
yes,BhakthiTV.in@SD,Bhakti TV,meowfy,auto,100.0,Bhakthi TV,dishtv.in,142709
review,BhakthiTV.in@SD,Thanthi TV,meowfy,review,80.0,Bhakthi TV,dishtv.in,142709
yes,BhaktiSagarTV.in@jiotv,Bhakti Sagar TV,meowfy,auto,100.0,Bhakti Sagar TV,jiotv.com,939
yes,Bharat24.in@SD,Bharat 24,meowfy,auto,100.0,Bharat24,dishtv.in,142710
yes,BharatAtoZ.in@jiotv,Bharat AtoZ,meowfy,auto,100.0,Bharat AtoZ,jiotv.com,1741
yes,BharatExpress.in@SD,Bharat Express,meowfy,auto,100.0,Bharat Express,dishtv.in,142711
review,BharatSamachar.in@SD,ATN Samachar,meowfy,review,81.5,Bharat Samachar,airtelxstream.in,LIVETV_LIVETVCHANNEL_BHARAT_SAMACHAR
yes,BharatTimesNews.in@jiotv,Bharat Times News,meowfy,auto,100.0,Bharat Times News,jiotv.com,3191
yes,BharatUpdate.in@jiotv,Bharat Update,meowfy,auto,100.0,Bharat Update,jiotv.com,3068
review,BhojpuriCinema.in@SD,Bhojpuri Junction,meowfy,review,75.0,Bhojpuri Cinema,dishtv.in,142713
yes,BigMagic.in@SD,Big Magic,meowfy,auto,100.0,Big Magic,dishtv.in,142715
yes,BirlaBrainiacs.in@jiotv,Birla Brainiacs,meowfy,auto,100.0,Birla Brainiacs,jiotv.com,1521
yes,BritAsia.in@jiotv,Brit Asia,meowfy,auto,100.0,Brit Asia,jiotv.com,1192
yes,BuletinIndia.in@jiotv,Buletin India,meowfy,auto,100.0,Buletin India,jiotv.com,1759
yes,CBeebies.uk@SD,CBEEBIES [IN],sktech,auto,100.0,CBeebies,airtelxstream.in,LIVETV_LIVETVCHANNEL_CBEEBIES
yes,CNBCAwaaz.in@SD,CNBC Awaaz,meowfy,auto,100.0,CNBC Awaaz,dishtv.in,142745
yes,CNBCAwaaz.in@SD,CNBC AWAAZ [IN],sktech,auto,100.0,CNBC Awaaz,dishtv.in,142745
yes,CNBCTV18.in@SD,CNBC TV18,meowfy,auto,100.0,CNBC TV18,dishtv.in,142743
yes,CNBCTV18PrimeHD.in@SD,CNBC TV18 Prime,meowfy,auto,100.0,CNBC TV18 Prime HD,dishtv.in,142744
yes,CNNInternational.us@SouthAsia,CNN,meowfy,auto,100.0,CNN International,dishtv.in,157679
yes,CNNNews18.in@SD,CNN NEWS18,meowfy,auto,100.0,CNN News 18,dishtv.in,142747
yes,CTVNAKDPlus.in@SD,Ctvn Akd Plus,meowfy,auto,100.0,CTVN AKD Plus,dishtv.in,142754
yes,CVREnglish.in@jiotv,CVR English,meowfy,auto,100.0,CVR English,jiotv.com,787
yes,CVRHealth.in@jiotv,CVR Health,meowfy,auto,100.0,CVR Health,jiotv.com,774
yes,CVRNews.in@SD,CVR News,meowfy,auto,100.0,CVR News,airtelxstream.in,LIVETV_LIVETVCHANNEL_CVR_NEWS
yes,CVROMSpiritual.in@jiotv,CVR OM Spiritual,meowfy,auto,100.0,CVR OM Spiritual,jiotv.com,772
review,CalvaryTV.in@SD,Calvary,meowfy,review,76.4,Calvary TV,tataplay.com,1318
yes,CartoonNetwork.in@SD,Cartoon Network HD+,meowfy,auto,100.0,Cartoon Network,dishtv.in,157576
yes,CartoonNetwork.in@SD,Cartoon Network,meowfy,auto,100.0,Cartoon Network,dishtv.in,157576
yes,CartoonNetwork.in@SD,CARTOON NETWORK [IN],sktech,auto,100.0,Cartoon Network,dishtv.in,157576
yes,ChanakyaNewsIndiaRajasthan.in@jiotv,Chanakya News India Rajasthan,meowfy,auto,100.0,Chanakya News India Rajasthan,jiotv.com,3189
yes,ChanakyaNewsNational.in@jiotv,Chanakya News National,meowfy,auto,100.0,Chanakya News National,jiotv.com,3190
yes,ChannelNewsAsiaInternational.in@jiotv,Channel News Asia International,meowfy,auto,100.0,Channel News Asia International,jiotv.com,764
yes,ChannelWIN.in@SD,Channel Win,meowfy,auto,100.0,Channel WIN,airtelxstream.in,LIVETV_LIVETVCHANNEL_CHANNEL_WIN
yes,ChardiklaTimeTV.in@SD,Chardikla Time TV,meowfy,auto,100.0,Chardikla Time TV,dishtv.in,142736
yes,Colors.in@SD,Colors HD,meowfy,auto,100.0,Colors,dishtv.in,158144
yes,Colors.in@SD,COLORS HD [BENGALI],sktech,auto,100.0,Colors,dishtv.in,158144
